0;38;38;36;38;38;36;38;38;36;38;38;36;38;38;36;38;38;36;38;38;36;38;38;36;38;38;36
1;249;249;247;249;249;247;249;249;247;249;249;247;249;249;247;249;249;247;249;249;247;249;249;247;249;249;247
2;253;253;255;253;253;255;253;253;255;253;253;255;253;253;255;253;253;255;253;253;255;253;253;255;253;253;255
3;141;137;144;141;137;144;141;137;144;141;137;144;141;137;144;141;137;144;141;137;144;141;137;144;141;137;144
0;69;105;58;69;105;58;69;105;58;69;105;58;69;105;58;69;105;58;69;105;58;69;105;58;69;105;58
1;83;123;72;83;123;72;83;123;72;83;123;72;83;123;72;83;123;72;83;123;72;83;123;72;83;123;72
2;83;123;69;83;123;69;83;123;69;83;123;69;83;123;69;83;123;69;83;123;69;83;123;69;83;123;69
3;72;108;58;72;108;58;72;108;58;72;108;58;72;108;58;72;108;58;72;108;58;72;108;58;72;108;58
0;69;105;58;69;105;58;69;105;58;69;105;58;69;105;58;69;105;58;69;105;58;69;105;58;69;105;58
1;81;121;69;81;121;69;81;121;69;81;121;69;81;121;69;81;121;69;81;121;69;81;121;69;81;121;69
2;83;123;69;83;123;69;83;123;69;83;123;69;83;123;69;83;123;69;83;123;69;83;123;69;83;123;69
3;72;108;58;72;108;58;72;108;58;72;108;58;72;108;58;72;108;58;72;108;58;72;108;58;72;108;58
0;69;108;56;69;108;56;69;108;56;69;108;56;69;108;56;69;108;56;69;108;56;69;108;56;69;108;56
1;83;128;69;83;128;69;83;128;69;83;128;69;83;128;69;83;128;69;83;128;69;83;128;69;83;128;69
2;85;132;72;85;132;72;85;132;72;85;132;72;85;132;72;85;132;72;85;132;72;85;132;72;85;132;72
3;74;114;60;74;114;60;74;114;60;74;114;60;74;114;60;74;114;60;74;114;60;74;114;60;74;114;60
0;67;103;54;67;103;54;67;103;54;67;103;54;67;103;54;67;103;54;67;103;54;67;103;54;67;103;54
1;81;121;67;81;121;67;81;121;67;81;121;67;81;121;67;81;121;67;81;121;67;81;121;67;81;121;67
2;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69
3;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58
0;72;103;58;72;103;58;72;103;58;72;103;58;72;103;58;72;103;58;72;103;58;72;103;58;72;103;58
1;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69
2;85;132;72;85;132;72;85;132;72;85;132;72;85;132;72;85;132;72;85;132;72;85;132;72;85;132;72
3;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58
0;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56
1;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72
2;87;130;74;87;130;74;87;130;74;87;130;74;87;130;74;87;130;74;87;130;74;87;130;74;87;130;74
3;76;108;65;76;108;65;76;108;65;76;108;65;76;108;65;76;108;65;76;108;65;76;108;65;76;108;65
0;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56
1;83;128;69;83;128;69;83;128;69;83;128;69;83;128;69;83;128;69;83;128;69;83;128;69;83;128;69
2;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69;83;126;69
3;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58
0;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56;67;108;56
1;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72
2;81;123;67;81;123;67;81;123;67;81;123;67;81;123;67;81;123;67;81;123;67;81;123;67;81;123;67
3;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58;74;112;58
0;69;108;56;69;108;56;69;108;56;69;108;56;69;108;56;69;108;56;69;108;56;69;108;56;69;108;56
1;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72;85;130;72
2;81;126;67;81;126;67;81;126;67;81;126;67;81;126;67;81;126;67;81;126;67;81;126;67;81;126;67
3;67;99;56;67;99;56;67;99;56;67;99;56;67;99;56;67;99;56;67;99;56;67;99;56;67;99;56
